prior_window,liquidity,prior_bin,vol_bin,fwd_20d_mean,n_days,diag_key
5,liq_50m,5,1,0.017650739131454426,4465,
5,liq_50m,5,2,0.015043826706942537,4751,
5,liq_50m,5,3,0.013760911216237931,4907,
5,liq_50m,5,4,0.01297624574415283,4947,
5,liq_50m,5,5,0.015342284719328074,4962,
5,liq_50m,-1,-1,0.015342284719328074,0,hi_prior_hi_vol
5,liq_50m,-1,-1,0.017650739131454426,0,hi_prior_lo_vol
5,liq_50m,-1,-1,0.011507714599250003,0,lo_prior_hi_vol
5,liq_50m,-1,-1,0.009113072768711884,0,lo_prior_lo_vol
5,liq_50m,-1,-1,-0.002308454412126352,0,top_row_hivol_minus_lovol
5,liq_50m,-1,-1,0.0023946418305381186,0,bot_row_hivol_minus_lovol
5,liq_50m,-1,-1,0.39999999999999997,0,hivol_col_mono
5,liq_50m,-1,-1,0.7,0,lovol_col_mono
5,liq_50m,-1,-1,-0.004703096242664469,0,interact_LS_diag
20,all,1,1,0.010712052789378009,4957,
20,all,1,2,0.010967132481910394,4962,
20,all,1,3,0.010773179576738985,4963,
20,all,1,4,0.01450824951472463,4961,
20,all,1,5,0.015648328429952684,4945,
20,all,2,1,0.008068354774441962,4962,
20,all,2,2,0.008911013161198801,4962,
20,all,2,3,0.009903392210175676,4963,
20,all,2,4,0.011275560874496713,4962,
20,all,2,5,0.009715854162347121,4952,
20,all,3,1,0.008561938779832775,4963,
20,all,3,2,0.010541321223683954,4963,
20,all,3,3,0.011302637409586595,4963,
20,all,3,4,0.011057545191298767,4962,
20,all,3,5,0.011309902228995354,4962,
20,all,4,1,0.010189218948303781,4963,
20,all,4,2,0.01223204509312026,4963,
20,all,4,3,0.01319543992396562,4962,
20,all,4,4,0.013726901591163862,4961,
20,all,4,5,0.01314080967146176,4959,
20,all,5,1,0.013936794682419807,4952,
20,all,5,2,0.015643271610947928,4963,
20,all,5,3,0.016431173032251067,4961,
20,all,5,4,0.01746437340255577,4960,
20,all,5,5,0.020638341825202133,4961,
20,all,-1,-1,0.020638341825202133,0,hi_prior_hi_vol
20,all,-1,-1,0.013936794682419807,0,hi_prior_lo_vol
20,all,-1,-1,0.015648328429952684,0,lo_prior_hi_vol
20,all,-1,-1,0.010712052789378009,0,lo_prior_lo_vol
20,all,-1,-1,0.006701547142782326,0,top_row_hivol_minus_lovol
20,all,-1,-1,0.004936275640574675,0,bot_row_hivol_minus_lovol
20,all,-1,-1,0.39999999999999997,0,hivol_col_mono
20,all,-1,-1,0.39999999999999997,0,lovol_col_mono
20,all,-1,-1,0.0017652715022076493,0,interact_LS_diag
20,liq_50m,1,1,0.009085886862570766,4925,
20,liq_50m,1,2,0.008655002543880987,4940,
20,liq_50m,1,3,0.009513577346013383,4937,
20,liq_50m,1,4,0.011200152565959734,4936,
20,liq_50m,1,5,0.010996894042538168,4899,
20,liq_50m,2,1,0.007687165067624551,4949,
20,liq_50m,2,2,0.007995589329158375,4942,
20,liq_50m,2,3,0.008444038699987794,4948,
20,liq_50m,2,4,0.009860479198297184,4940,
20,liq_50m,2,5,0.008412449633599661,4894,
20,liq_50m,3,1,0.008526370284861173,4942,
20,liq_50m,3,2,0.010020535947935663,4947,
20,liq_50m,3,3,0.01067337827908638,4945,
20,liq_50m,3,4,0.011033345562651746,4945,
20,liq_50m,3,5,0.011869662345751902,4909,
20,liq_50m,4,1,0.009187172556284831,4938,
20,liq_50m,4,2,0.0102068150075127,4940,
20,liq_50m,4,3,0.011097629396587694,4936,
20,liq_50m,4,4,0.011549172844498256,4943,
20,liq_50m,4,5,0.013056548610364767,4930,
20,liq_50m,5,1,0.015243220976713307,4913,
20,liq_50m,5,2,0.015260935344695869,4916,
20,liq_50m,5,3,0.014737910731714966,4934,
20,liq_50m,5,4,0.01436268794917959,4936,
20,liq_50m,5,5,0.016410779007940073,4945,
20,liq_50m,-1,-1,0.016410779007940073,0,hi_prior_hi_vol
20,liq_50m,-1,-1,0.015243220976713307,0,hi_prior_lo_vol
20,liq_50m,-1,-1,0.010996894042538168,0,lo_prior_hi_vol
20,liq_50m,-1,-1,0.009085886862570766,0,lo_prior_lo_vol
20,liq_50m,-1,-1,0.001167558031226765,0,top_row_hivol_minus_lovol
20,liq_50m,-1,-1,0.0019110071799674014,0,bot_row_hivol_minus_lovol
20,liq_50m,-1,-1,0.8999999999999998,0,hivol_col_mono
20,liq_50m,-1,-1,0.7,0,lovol_col_mono
20,liq_50m,-1,-1,-0.0007434491487406381,0,interact_LS_diag
